2019oncmp2_qm44,frc4069,frc6070,frc4914,frc7757,frc5885,frc2056,59,101
2019oncmp2_qm45,frc2386,frc6336,frc7800,frc1285,frc746,frc4992,53,51
2019oncmp2_qm46,frc2634,frc6878,frc6140,frc4917,frc4343,frc5719,73,95
2019oncmp2_qm47,frc4678,frc1360,frc2706,frc2852,frc3683,frc7480,84,103
2019oncmp2_qm48,frc7757,frc4039,frc6141,frc7800,frc2056,frc6867,58,81
2019oncmp2_qm49,frc610,frc2200,frc4688,frc5409,frc1285,frc4914,93,72
2019oncmp2_qm5,frc6140,frc2702,frc5719,frc6141,frc3683,frc1360,65,64
2019oncmp2_qm50,frc5719,frc7476,frc6878,frc5406,frc3683,frc4903,55,93
2019oncmp2_qm51,frc4678,frc6987,frc2634,frc4907,frc6140,frc4069,74,65
2019oncmp2_qm52,frc746,frc4343,frc2852,frc4814,frc6070,frc4992,72,63
2019oncmp2_qm53,frc4920,frc1360,frc4917,frc5885,frc2702,frc6336,82,74
2019oncmp2_qm54,frc2386,frc6141,frc7476,frc4618,frc6987,frc6140,68,43
2019oncmp2_qm55,frc4914,frc2852,frc2200,frc6867,frc2634,frc3683,82,74
2019oncmp2_qm56,frc7757,frc4992,frc4907,frc2702,frc6878,frc4920,59,63
2019oncmp2_qm57,frc4618,frc7480,frc6336,frc4688,frc5719,frc4903,71,82
2019oncmp2_qm58,frc1285,frc7800,frc2706,frc5406,frc2056,frc4343,79,96
2019oncmp2_qm59,frc4039,frc6070,frc4917,frc1360,frc4069,frc2386,76,77
2019oncmp2_qm6,frc2056,frc4618,frc2852,frc4992,frc610,frc6987,89,79
2019oncmp2_qm60,frc4814,frc4678,frc746,frc610,frc5885,frc5409,70,76
2019oncmp2_qm61,frc6867,frc2706,frc4914,frc4907,frc6336,frc4920,58,44
2019oncmp2_qm62,frc4343,frc2386,frc4992,frc7480,frc4688,frc6140,64,55
2019oncmp2_qm63,frc3683,frc4039,frc4069,frc4814,frc5406,frc4618,101,54
2019oncmp2_qm64,frc610,frc746,frc6141,frc2634,frc4917,frc7757,62,75
2019oncmp2_qm65,frc6070,frc2200,frc2702,frc4678,frc5719,frc7800,90,66
2019oncmp2_qm66,frc6987,frc2852,frc5885,frc6878,frc1285,frc4903,52,66
2019oncmp2_qm67,frc1360,frc7476,frc7757,frc2056,frc5409,frc2634,77,77
2019oncmp2_qm68,frc610,frc6867,frc4920,frc6070,frc2386,frc3683,94,82
2019oncmp2_qm69,frc4917,frc5406,frc2702,frc4343,frc6987,frc4814,98,58
2019oncmp2_qm7,frc4903,frc7476,frc2634,frc4920,frc4069,frc4814,70,61
2019oncmp2_qm70,frc4678,frc6140,frc2200,frc6336,frc4039,frc6878,69,56
2019oncmp2_qm71,frc1360,frc5409,frc5719,frc4914,frc7800,frc4618,78,62
2019oncmp2_qm72,frc2056,frc4907,frc7480,frc5885,frc1285,frc7476,93,55
2019oncmp2_qm73,frc4903,frc4069,frc746,frc4992,frc2706,frc6141,65,62
2019oncmp2_qm74,frc4688,frc4920,frc4618,frc2852,frc4678,frc6878,61,56
2019oncmp2_qm75,frc5885,frc6140,frc1360,frc2200,frc4814,frc6867,67,77
2019oncmp2_qm76,frc3683,frc4914,frc7757,frc4343,frc4903,frc6336,72,62
2019oncmp2_qm77,frc4917,frc6141,frc7800,frc4907,frc2706,frc2852,88,91
2019oncmp2_qm78,frc4069,frc610,frc2702,frc4688,frc7476,frc4039,82,86
2019oncmp2_qm79,frc4992,frc2634,frc7480,frc6987,frc5409,frc2386,57,59
2019oncmp2_qm8,frc3683,frc4917,frc5885,frc5409,frc4688,frc7800,91,72
2019oncmp2_qm80,frc6070,frc2056,frc746,frc5406,frc1285,frc5719,88,80
2019oncmp2_qm9,frc6987,frc4907,frc1285,frc5719,frc6141,frc4914,58,50
2019oncmp2_sf1m1,frc3683,frc2056,frc4907,frc610,frc2852,frc1285,114,76
2019oncmp2_sf1m2,frc3683,frc2056,frc4907,frc610,frc2852,frc1285,113,73
2019oncmp2_sf2m1,frc5406,frc2200,frc4814,frc4678,frc2702,frc7757,93,82
2019oncmp2_sf2m2,frc5406,frc2200,frc4814,frc4678,frc2702,frc7757,100,75
2019oncmp_f1m1,frc1241,frc1114,frc771,frc3683,frc2056,frc4907,109,102
2019oncmp_f1m2,frc1241,frc1114,frc771,frc3683,frc2056,frc4907,111,97


